Product,Brand,Quantity,Store,Country,URL
Galette Boulgour Sarrasin,Cereal bio,,,Germany,https://world.openfoodfacts.org/product/4235373086443/galette-boulgour-sarrasin-cereal-bio
Confiture fraise,Céréal,,,Germany,https://world.openfoodfacts.org/product/4010093000098/confiture-fraise-cereal
Barre muesli,Enjoy free,,,Germany,https://world.openfoodfacts.org/product/4061463698322/barre-muesli-enjoy-free
Crunchy Granola Clusters Oats and Honey,Golgenvale,,,Germany,https://world.openfoodfacts.org/product/4088700237762/crunchy-granola-clusters-oats-and-honey-golgenvale
Four cheese gnocchi,Priano,,,Germany,https://world.openfoodfacts.org/product/4061464575103/four-cheese-gnocchi-priano
Cinnamon cereal flavor,"ESN, Flav’n tasty ESN",,,Germany,https://world.openfoodfacts.org/product/4250519651330/cinnamon-cereal-flavor-esn
Designer Whey Protein Leon‘s Cereal,ESN,,,Germany,https://world.openfoodfacts.org/product/4250519661971/designer-whey-protein-leon-s-cereal-esn
Haselnuss müsli riegel,Kaufland classic,,,Germany,https://world.openfoodfacts.org/product/4008713713251/haselnuss-musli-riegel-kaufland-classic
Smores millville breakfast,Cocoa flavored cereal cinnamon,,Aldi,Germany,https://world.openfoodfacts.org/product/4061461802387/smores-millville-breakfast-cocoa-flavored-cereal-cinnamon
Cereal biscuits,,,,Germany,https://world.openfoodfacts.org/product/4061461580001/cereal-biscuits
Pan integral de molde sin corteza,Hacendado,450 g,Mercadona,Spain,https://world.openfoodfacts.org/product/8402001021541/pan-integral-de-molde-sin-vorteza-hacendado
100% Integral,Oroweat,550g,,Spain,https://world.openfoodfacts.org/product/8412600019870/100-integral-oroweat
Fruit Grain Cereal Bar Blueberry,Happy Valley,,,Spain,https://world.openfoodfacts.org/product/0842379191176/fruit-grain-cereal-bar-blueberry-happy-valley
Harina de maiz blanco,Mercadona,,,Spain,https://world.openfoodfacts.org/product/8402001020957/harina-de-maiz-blanco-mercadona
Simpson cacao cereal cookies,,,,Spain,https://world.openfoodfacts.org/product/8412674108050/simpson-cacao-cereal-cookies
Cereal,Cuquets,,,Spain,https://world.openfoodfacts.org/product/8480017212894/cereal-cuquets
Sandwich multi cereal  pollo bacon,,130 g,,Spain,https://world.openfoodfacts.org/product/8422388000861/sandwich-multi-cereal-pollo-bacon
Cereals,,,,Spain,https://world.openfoodfacts.org/product/8436607853077/cereals
Gran bauletto integrale,Mulino Bianco,465g,,Italy,https://world.openfoodfacts.org/product/8076809584074/gran-bauletto-integrale-mulino-bianco
Gallette di mais - Amo Essere Bio,Amo essere,130g,,Italy,https://world.openfoodfacts.org/product/8017596132574/gallette-di-mais-amo-essere-bio
Corn Flakes,Tre mulini,2 x 425 g,Eurospin,Italy,https://world.openfoodfacts.org/product/8017596129765/corn-flames-tre-mulini
Gallette di farro,Conad,,Conad,Italy,https://world.openfoodfacts.org/product/8003170055315/gallette-di-farro-conad
Pane soffice con Farina integrale,CONAD,400,Conad,Italy,https://world.openfoodfacts.org/product/8003170064768/pane-soffice-con-farina-integrale-conad
High Protein Cereal Bar,Magic Spoon,,,Italy,https://world.openfoodfacts.org/product/0810104460279/high-protein-cereal-bar-magic-spoon
Fusilli,Barilla,,,Italy,https://world.openfoodfacts.org/product/8076809579872/fusilli-barilla
Trofie,"GR.A.M.M., Meliora",,,Italy,https://world.openfoodfacts.org/product/8017070772425/trofie-gr-a-m-m
Muesli naturalix,Vitalibre,750g,,Italy,https://world.openfoodfacts.org/product/8033520548778/muesli-naturalix-vitalibre
Piada classica,Ster,,,Italy,https://world.openfoodfacts.org/product/8001551080031/piada-classica-ster
Tagliatelle 500g Barilla,Barilla norge,500 g,,Italy,https://world.openfoodfacts.org/product/8076809580731/tagliatelle-500g-barilla-barilla-norge
Multicereali  vaniglia e cioccolato,Pam panorama bio,,,Italy,https://world.openfoodfacts.org/product/8004263681923/multicereali-vaniglia-e-cioccolato-pam-panorama-bio
Tagliolini,Giovanni Rana,,,Italy,https://world.openfoodfacts.org/product/8001665700474/tagliolini-giovanni-rana
Boulgour au naturel,Cereal bio,,,Italy,https://world.openfoodfacts.org/product/8151681018210/boulgour-au-naturel-cereal-bio
Knäckebrot,Schär,100 gram,,Italy,https://world.openfoodfacts.org/product/8008698034125/knackebrot-schar
Galette  de céréales orge chèvre et miel,Céréal bio,,,Italy,https://world.openfoodfacts.org/product/8151681708074/galette-de-cereales-orge-chevre-et-miel-cereal-bio
Riso Basmati,Carrefour BIO,500 g,Carrefour,Italy,https://world.openfoodfacts.org/product/8012666053056/riso-basmati-carrefour-bio
Penne farro,Poggio del Farro,,,Italy,https://world.openfoodfacts.org/product/8033413343053/penne-farro-poggio-del-farro
Piadina romagnola IGP la spessa,Riccione Piadina,,,Italy,https://world.openfoodfacts.org/product/8020926000351/piadina-romagnola-igp-la-spessa-riccione-piadina
Polenta ai porcini,"Cascina Belvedere, Sapori d'Italia",,,Italy,https://world.openfoodfacts.org/product/8032542749750/polenta-ai-porcini-cascina-belvedere
Beans,Cereal terra,,,Italy,https://world.openfoodfacts.org/product/8024336014458/beans-cereal-terra
Ciambelle al vino rosso - ciardi - ciardi,Ciardi,,,Italy,https://world.openfoodfacts.org/product/8008947500357/ciambelle-al-vino-rosso-ciardi-ciardi
Palline di mais al cacao,Benesì,250,,Italy,https://world.openfoodfacts.org/product/8001120699312/palline-di-mais-al-cacao-benesi
Riz long,Victoria,5 kg,,Italy,https://world.openfoodfacts.org/product/8000483155084/riz-long-victoria
Riz complet mélangé à grains longs,Gli Aironi,,,Italy,https://world.openfoodfacts.org/product/8027498011556/riz-complet-melange-a-grains-longs-gli-aironi
Rigatoni Romani Selezione Oro,Barilla,85.0g,,Italy,https://world.openfoodfacts.org/product/8076809528092/rigatoni-romani-selezione-oro-barilla
Farine,Agugiaro&Figna,,,Italy,https://world.openfoodfacts.org/product/8028630090538/farine-agugiaro-figna
Risotto alla Zucca,Cascina Belvedere,,,Italy,https://world.openfoodfacts.org/product/8032542740177/risotto-alla-zucca-cascina-belvedere
Caramelle al cioccolato,"Il Panettiere di Dambrosio, Panificio Giannini",,,Italy,https://world.openfoodfacts.org/product/8033315690859/caramelle-al-cioccolato-il-panettiere-di-dambrosio
Piada,"Sapore del grano, Ster",,,Italy,https://world.openfoodfacts.org/product/8001551081106/piada-sapore-del-grano
Pomodori secchi,"Ape  Gaia, Cereal terra",,,Italy,https://world.openfoodfacts.org/product/8024336015264/pomodori-secchi-ape-gaia
Pâtes bio complètes riz,Castagno,,,Italy,https://world.openfoodfacts.org/product/8013885050857/pates-bio-completes-riz-castagno
Gressins,Mario Fongo,,,Italy,https://world.openfoodfacts.org/product/8028947010137/gressins-mario-fongo
Super Grissini,Vitavigor,,,Italy,https://world.openfoodfacts.org/product/8007900302656/super-grissini-vitavigor
Overnight oats,Isola Bio,,,Italy,https://world.openfoodfacts.org/product/8023678730095/overnight-oats-isola-bio
Stelline bio intégrale,Rummo,,,Italy,https://world.openfoodfacts.org/product/8008343700221/stelline-bio-integrale-rummo
Overnight oats,Isola Bio,,,Italy,https://world.openfoodfacts.org/product/8023678730118/overnight-oats-isola-bio
Linguine bio,Bio,,,Italy,https://world.openfoodfacts.org/product/8055681052994/linguine-bio
Gnocchi,Eataly,,,Italy,https://world.openfoodfacts.org/product/8009344100324/gnocchi-eataly
Pad thaï,Cereal bio,,,Italy,https://world.openfoodfacts.org/product/8371259586518/pad-thai-cereal-bio
Mushroom risotto,Poggio del Farro,,,Italy,https://world.openfoodfacts.org/product/8033413342261/mushroom-risotto-poggio-del-farro
Zuppa di Farro e Ortiche,Cereal Terra,,,Italy,https://world.openfoodfacts.org/product/8024336014441/zuppa-di-farro-e-ortiche-cereal-terra
Quality sushi rice,Curtiriso,,,Italy,https://world.openfoodfacts.org/product/8017759647136/quality-sushi-rice-curtiriso
Grossi ni,Panequaglia,,,Italy,https://world.openfoodfacts.org/product/8033413621021/grossi-ni-panequaglia
Riso Roma,Riso della Sardegna,,,Italy,https://world.openfoodfacts.org/product/8001718001633/riso-roma-riso-della-sardegna
Pane bianco,Semenzato,,,Italy,https://world.openfoodfacts.org/product/8006227000399/pane-bianco-semenzato
Sablés,Céréal Bio,,,Italy,https://world.openfoodfacts.org/product/8298361060524/sables-cereal-bio
Galette boulgour et sarrasin,Céréal BIO,,,Italy,https://world.openfoodfacts.org/product/8056011799893/galette-boulgour-et-sarrasin-cereal-bio
Crescia sfogliata,Il panaro,370 g,,Italy,https://world.openfoodfacts.org/product/8030710044461/crescia-sfogliata-il-panaro
Focaccia,,,,Italy,https://world.openfoodfacts.org/product/8057288192271/focaccia
Frootie Cereal Flavored Protein,Precision Protein,,,Italy,https://world.openfoodfacts.org/product/0811836026757/frootie-cereal-flavored-protein-precision-protein
Riso,"La Sceleira, Riso",,,Italy,https://world.openfoodfacts.org/product/8008730009074/riso-la-sceleira
Insalata di cereali,Cereal terra,,,Italy,https://world.openfoodfacts.org/product/8024336001090/insalata-di-cereali-cereal-terra
Vellutata di fave,Cereal Terra,,,Italy,https://world.openfoodfacts.org/product/8024336005982/vellutata-di-fave-cereal-terra
Porcini lasagna,Cereal terra,,,Italy,https://world.openfoodfacts.org/product/8024336014533/porcini-lasagna-cereal-terra
Barra cereal cocada,,,,Italy,https://world.openfoodfacts.org/product/0822830849365/barra-cereal-cocada
Crescentine per tigelle,La pasta di Celestino,,,Italy,https://world.openfoodfacts.org/product/8032603790011/crescentine-per-tigelle-la-pasta-di-celestino
,Double Panda,1 kg,,Netherlands,https://world.openfoodfacts.org/product/8719992967360/riz-japonais-sushi-rice-double-panda
Robuust volkoren broodjes,Albert Heijn,80 gram,Albert Heijn,Netherlands,https://world.openfoodfacts.org/product/8718907108126/robuust-volkoren-broodjes-albert-heijn
Choco shels,Gwoon,,,Netherlands,https://world.openfoodfacts.org/product/8710624338046/choco-shels-gwoon
Tokimeki bread,Tokimeki,70 g,,Netherlands,https://world.openfoodfacts.org/product/8717624008221/tokimeki-bread
Cruesli 4 nuts,Quaker,,,Netherlands,https://world.openfoodfacts.org/product/8710398530615/cruesli-4-nuts-quaker
Granola ultimate organic,Rude health,500 gram,Ekoplaza,Netherlands,https://world.openfoodfacts.org/product/5060120281203/granola-ultimate-organic-rude-health
Horizon Tahin,Horizon,350 g,Ekoplaza,Netherlands,https://world.openfoodfacts.org/product/8712439011404/horizon-tahin
Ciabattina's,Albert Heijn,150g,Albert Heijn,Netherlands,https://world.openfoodfacts.org/product/8718265467736/panini-albert-heijn
Aardappelbolletjes,Gwoon,600 g,,Netherlands,https://world.openfoodfacts.org/product/8710624227067/aardappelbolletjes-gwoon
Nan garlic,TERRASANA,,,Netherlands,https://world.openfoodfacts.org/product/8713576003123/nan-garlic-terrasana
Protein nuts & caramel,B'tween,,,Netherlands,https://world.openfoodfacts.org/product/8713500013280/protein-nuts-caramel-b-tween
Koolhydraat Verlaagd Brood,De Hollandse Bakker,,,Netherlands,https://world.openfoodfacts.org/product/8718164667596/koolhydraat-verlaagd-brood-de-hollandse-bakker
Picos,Action,,,Netherlands,https://world.openfoodfacts.org/product/8718247444168/picos-action
Cornflakes estaladiços,,,,Portugal,https://world.openfoodfacts.org/product/5604321030033/cornflakes-estaladicos
Tortitas de arroz integral con quinoa,Continente,,Continente,Portugal,https://world.openfoodfacts.org/product/5601312075332/tortitas-de-arroz-integral-con-quinoa-continente
Barra de Cereais Zero Açúcares,Nacional,,,Portugal,https://world.openfoodfacts.org/product/5601066602150/barra-de-cereais-zero-acucares-nacional
Porridge,Prozis,,,Portugal,https://world.openfoodfacts.org/product/5600961157789/porridge-prozis
Wraps banana,Prozis,5 x 40 g,,Portugal,https://world.openfoodfacts.org/product/5600961123579/wraps-banana-prozis
Seitan,Seara,,,Portugal,https://world.openfoodfacts.org/product/5600341931244/seitan-seara
Fruit Granola,One day more,,,Poland,https://world.openfoodfacts.org/product/5902884465850/fruit-granola-one-day-more
Barre céréales,Nestlé,"23,5 g",,Poland,https://world.openfoodfacts.org/product/5900020041333/barre-cereales-nestle
Kasza gryczana prażona,,400 g,,Poland,https://world.openfoodfacts.org/product/5906827022605/kasza-gryczana-pra%C5%BCona
Tortilla wraps,Dijo,,,Poland,https://world.openfoodfacts.org/product/5900928002764/tortilla-wraps-dijo
Chia,Melvit,,,Poland,https://world.openfoodfacts.org/product/5906827015737/chia-melvit
Corn Flakes Honey And Nut,Nestle,,,Poland,https://world.openfoodfacts.org/product/5900020038616/corn-flakes-honey-and-nut-nestle
Nestle Fitnss Crnchy Carmel Bar,Fitness,23.5 gm,,Poland,https://world.openfoodfacts.org/product/5900020030276/nestle-fitnss-crnchy-carmel-bar-fitness
Fitos Smietana & cebula,Kupiec,,,Poland,https://world.openfoodfacts.org/product/5906747176556/fitos-smietana-cebula-kupiec
Granola z kawałkami czekolady,Promienie stońca,,,Poland,https://world.openfoodfacts.org/product/5907517586742/granola-z-kawa%C5%82kami-czekolady-promienie-sto%C5%84ca
Red Berries Breakfast Cereal Bar,Fitnesse,,,Poland,https://world.openfoodfacts.org/product/5900020037190/red-berries-breakfast-cereal-bar-fitnesse
Honey Cereal Bar,Cheerios,,,Poland,https://world.openfoodfacts.org/product/5900020037657/honey-cereal-bar-cheerios
Cinnamon cereal pillows,,,,Poland,https://world.openfoodfacts.org/product/5907713374044/cinnamon-cereal-pillows
Corn Crispbread,Tovago,,,Poland,https://world.openfoodfacts.org/product/5901534000205/corn-crispbread-tovago
Sweet corn,Heinz,,,Poland,https://world.openfoodfacts.org/product/5900783009427/sweet-corn-heinz
Cookies Cereal,Ostrovit,,,Poland,https://world.openfoodfacts.org/product/5903933907031/cookies-cereal-ostrovit
Havrefras,Orkla,600g,,Sweden,https://world.openfoodfacts.org/product/7311171008393/havrefras-orkla
Corn Flakes,ICA,500 g,,Sweden,https://world.openfoodfacts.org/product/7310751191050/corn-flakes-ica
,"Havrefras, Orkla Foods",300 g,,Sweden,https://world.openfoodfacts.org/product/7350126084389/havrefras
Västkustchips - havssalt,Estrella,180g,,Sweden,https://world.openfoodfacts.org/product/7310532103623/vastkustchips-havssalt-estrella
Mezze Maniche,Zeta,400g,,Sweden,https://world.openfoodfacts.org/product/7350002404546/mezze-maniche-zeta
Havsalt chips,Taffel,,,Sweden,https://world.openfoodfacts.org/product/7310532103142/havsalt-chips-taffel
Ugnsbakade chips - sourcream & onion,Estrella,,,Sweden,https://world.openfoodfacts.org/product/7310532302002/ugnsbakade-chips-sourcream-onion-estrella
Pain aux  céréales,Bageriet,,,Sweden,https://world.openfoodfacts.org/product/7392228004001/pain-aux-cereales-bageriet
"Müsli - 50% Frukt, nötter och frön",Ica,750 g,,Sweden,https://world.openfoodfacts.org/product/7318690054160/musli-50-frukt-notter-och-fron-ica
Müsli,Anglamark,,,Sweden,https://world.openfoodfacts.org/product/7300156580580/musli-anglamark
Knäcke Sesam,WASA,,,Sweden,https://world.openfoodfacts.org/product/7300400855105/knacke-sesam-wasa
Eko-Logiskt Basmati Ris,Eko-Logiskt,,,Sweden,https://world.openfoodfacts.org/product/7331746284915/eko-logiskt-basmati-ris
Rustik limpa,,,,Sweden,https://world.openfoodfacts.org/product/7310100558718/rustik-limpa
Protein Cereal Bar,Youthful Living,,,Sweden,https://world.openfoodfacts.org/product/0737186886387/protein-cereal-bar-youthful-living
